,click_cost,decision,matrix,mu,outcome,participant,probabilities,reveal_order,sigma
21,0.0,7,"[[0.11, 0.13, 0.2, 0.15, 0.12, 0.07, 0.12], [0.17, 0.14, 0.08, 0.03, 0.14, 0.12, 0.21], [0.15, 0.05, 0.06, 0.08, 0.07, 0.16, 0.13], [0.11, 0.11, 0.13, 0.18, 0.08, 0.12, 0.15]]",0.13,0.12,2,"[0.11, 0.38, 0.34, 0.17]","[[0, 4, 5, 12, 13, 20, 21, 27], [0, 1, 6, 11, 14, 19, 22, 26], [0, 2, 7, 10, 15, 18, 23, 28], [0, 3, 8, 9, 16, 17, 24, 25]]",0.072
22,0.0,4,"[[0.08, 0.23, 0.11, 0.15, 0.14, 0.16, 0.07], [0.19, 0.17, 0.09, 0.16, 0.14, 0.09, 0.03], [0.13, 0.11, 0.24, 0.17, 0.14, 0.06, 0.15], [0.09, 0.17, 0.09, 0.17, 0.19, 0.1, 0.17]]",0.13,0.17,2,"[0.01, 0.02, 0.11, 0.86]","[[0, 1, 8, 9, 16, 17, 24, 25], [0, 2, 7, 10, 15, 18, 23, 26], [0, 3, 6, 13, 12, 19, 22, 27], [0, 4, 5, 11, 14, 20, 21, 28]]",0.072
23,0.0,5,"[[0.07, 0.16, 0.11, 0.2, 0.2, 0.19, 0.16], [0.15, 0.22, 0.24, 0.17, 0.18, 0.12, 0.12], [0.11, 0.16, 0.11, 0.12, 0.21, 0.06, 0.16], [0.17, 0.22, 0.15, 0.11, 0.24, 0.11, 0.17]]",0.13,0.24,2,"[0.09, 0.03, 0.01, 0.87]","[[0, 1, 8, 9, 16, 17, 24, 25], [0, 2, 7, 10, 15, 18, 23, 26], [0, 3, 6, 11, 14, 19, 22, 27], [0, 4, 5, 12, 13, 20, 21, 28]]",0.072
24,0.0,7,"[[0.12, 0.13, 0.12, 0.14, 0.05, 0.1, 0.25], [0.16, 0.2, 0.2, 0.14, 0.09, 0.17, 0.09], [0.11, 0.12, 0.11, 0.11, 0.08, 0.05, 0.17], [0.19, 0.2, 0.07, 0.21, 0.07, 0.13, 0.2]]",0.13,0.17,2,"[0.17, 0.35, 0.31, 0.17]","[[0, 1, 8, 9, 15, 20, 21, 28], [0, 2, 7, 10, 14, 19, 22, 27], [0, 3, 6, 11, 13, 18, 23, 26], [0, 4, 5, 12, 16, 17, 24, 25]]",0.072
25,0.0,2,"[[0.15, 0.08, 0.15, 0.12, 0.15, 0.08, 0.22], [0.12, 0.2, 0.22, 0.16, 0.25, 0.12, 0.11], [0.19, 0.22, 0.15, 0.08, 0.12, 0.14, 0.2], [0.21, 0.16, 0.09, 0.16, 0.22, 0.15, 0.19]]",0.13,0.22,2,"[0.05, 0.07, 0.86, 0.02]","[[0, 1, 8, 9, 16, 17, 24, 25], [0, 2, 7, 10, 15, 18, 23, 26], [0, 3, 6, 11, 14, 19, 22, 28], [0, 4, 5, 12, 13, 20, 21, 27]]",0.072
26,0.0,7,"[[0.11, 0.06, 0.11, 0.08, 0.17, 0.11, 0.11], [0.14, 0.12, 0.06, 0.14, 0.09, 0.14, 0.12], [0.04, 0.15, 0.09, 0.13, 0.15, 0.18, 0.21], [0.1, 0.08, 0.17, 0.08, 0.19, 0.13, 0.19]]",0.13,0.11,2,"[0.26, 0.2, 0.27, 0.27]","[[0, 1, 8, 9, 16, 17, 24, 25], [0, 2, 7, 10, 15, 18, 23, 26], [0, 3, 6, 11, 14, 19, 22, 27], [0, 4, 5, 12, 13, 20, 21, 28]]",0.072
27,0.0,3,"[[0.16, 0.11, 0.08, 0.09, 0.11, 0.11, 0.06], [0.14, 0.14, 0.15, 0.18, 0.2, 0.23, 0.09], [0.09, 0.18, 0.2, 0.13, 0.05, 0.16, 0.07], [0.08, 0.02, 0.16, 0.15, 0.1, 0.09, 0.12]]",0.13,0.2,2,"[0.08, 0.02, 0.89, 0.01]","[[0, 1, 14, 16, 0, 0, 17, 0], [0, 2, 13, 15, 0, 0, 18, 0], [0, 3, 6, 7, 8, 9, 10, 11], [0, 4, 5, 12, 0, 0, 19, 0]]",0.072
28,0.0,4,"[[0.11, 0.18, 0.17, 0.05, 0.02, 0.11, 0.14], [0.16, 0.12, 0.11, 0.08, 0.11, 0.16, 0.08], [0.12, 0.16, 0.05, 0.23, 0.13, 0.08, 0.03], [0.17, 0.24, 0.1, 0.22, 0.06, 0.14, 0.05]]",0.13,0.23,2,"[0.01, 0.08, 0.86, 0.05]","[[0, 13, 15, 0, 9, 0, 0, 0], [0, 12, 14, 0, 8, 0, 0, 0], [0, 1, 2, 3, 4, 5, 6, 7], [0, 11, 16, 0, 10, 0, 0, 0]]",0.072
29,0.0,5,"[[0.01, 0.19, 0.1, 0.03, 0.13, 0.15, 0.13], [0.17, 0.18, 0.07, 0.17, 0.17, 0.12, 0.12], [0.11, 0.17, 0.18, 0.22, 0.08, 0.06, 0.07], [0.12, 0.02, 0.07, 0.16, 0.17, 0.14, 0.04]]",0.13,0.17,2,"[0.3, 0.29, 0.13, 0.28]","[[0, 1, 12, 11, 13, 20, 21, 28], [0, 2, 3, 10, 14, 19, 22, 27], [0, 5, 6, 9, 15, 18, 23, 26], [0, 4, 7, 8, 16, 17, 24, 25]]",0.072
30,0.0,1,"[[8.51, 2.86, 5.22, 3.29, 7.8, 7.12, 2.91], [7.85, 5.63, 4.76, 5.73, 4.36, 4.99, 0.21], [1.1, 2.64, 4.86, 7.57, 7.15, 0.31, 2.34], [6.38, 5.91, 3.08, 6.0, 7.58, 3.85, 6.26]]",5.0,1.1,2,"[0.19, 0.32, 0.23, 0.26]","[[0, 1, 8, 9, 16, 17, 24, 25], [0, 2, 7, 10, 15, 18, 23, 26], [0, 3, 6, 11, 14, 19, 22, 27], [0, 4, 5, 12, 13, 20, 21, 28]]",2.994
31,0.0,5,"[[8.47, 2.82, 7.33, 4.03, 7.07, 2.75, 1.54], [4.68, 3.16, 0.97, 1.44, 5.2, 6.65, 9.25], [8.41, 7.04, 1.31, 3.23, 7.09, 7.67, 1.55], [6.28, 2.99, 4.33, 1.28, 9.25, 6.99, 2.35]]",5.0,9.25,2,"[0.01, 0.01, 0.01, 0.97]","[[0, 1, 0, 0, 0, 0, 0, 0], [0, 2, 0, 0, 0, 0, 0, 0], [0, 3, 0, 0, 0, 0, 0, 0], [0, 4, 5, 6, 7, 8, 9, 10]]",2.994
32,0.0,3,"[[7.04, 7.27, 1.99, 4.87, 6.53, 6.34, 1.47], [5.29, 2.16, 9.06, 4.67, 7.92, 5.41, 7.56], [6.95, 5.35, 1.7, 4.81, 6.84, 1.21, 8.92], [6.63, 5.53, 4.35, 1.42, 5.69, 5.92, 4.12]]",5.0,9.06,2,"[0.07, 0.87, 0.03, 0.03]","[[0, 0, 0, 12, 11, 10, 0, 0], [0, 1, 2, 3, 4, 5, 7, 6], [0, 0, 0, 13, 0, 8, 0, 0], [0, 0, 0, 14, 0, 9, 0, 0]]",2.994
